,CUSTOMER_NUMBER,CUSTOMER_LOCATION,CUSTOMER_DEPARTMENT,CUSTOMER_PROVINCE
0,410,10,9,TEXAS
1,1375,1,83,ARIZONA
2,2196,1,70,CALIFORNIA
3,1934,50,70,ARIZONA
4,75379,201,0,TEXAS
5,1709,44,70,TEXAS
6,3225,1,0,ARIZONA
7,1891,1,23,TEXAS
8,2438,9,70,TEXAS
9,2749,4,20,TEXAS
10,1307,6,81,TEXAS
11,75522,1,0,TEXAS
12,2214,1,70,ARIZONA
13,2579,1,0,FLORIDA
14,16139,2,0,ARIZONA
15,16262,1,0,TEXAS
16,2015,1,9,TEXAS
17,2142,5,62,ARIZONA
18,185,1,9,CALIFORNIA
19,2312,3,62,ARIZONA
20,2144,48,62,CALIFORNIA
21,387,20,62,ARIZONA
22,2438,33,62,TEXAS
23,2305,1,62,CALIFORNIA
24,1984,1,0,ARIZONA
25,1775,31,62,CALIFORNIA
26,185,1,62,CALIFORNIA
27,10810,1,0,ARIZONA
28,1775,41,60,CALIFORNIA
29,2073,45,9,TEXAS
30,1693,1,60,TEXAS
31,462,1,0,OHIO
32,1934,1,62,ARIZONA
33,387,6,62,ARIZONA
34,387,4,62,ARIZONA
35,2438,5,62,TEXAS
36,10768,1,0,ARIZONA
37,1869,1,62,CALIFORNIA
38,387,7,62,ARIZONA
39,271,22,62,CALIFORNIA
40,1840,1,9,TEXAS
41,2486,7,62,TEXAS
42,1954,27,62,MICHIGAN
43,10937,1,0,TEXAS
44,322,1,62,TEXAS
45,2214,7,62,ARIZONA
46,1709,41,62,TEXAS
47,2205,1,0,TEXAS
48,1974,5,9,CALIFORNIA
49,185,42,9,CALIFORNIA
50,10453,1,0,ARIZONA
51,168,1,62,ARIZONA
52,387,8,62,ARIZONA
53,208,5,9,TEXAS
54,2620,21,62,ARIZONA
55,387,3,62,ARIZONA
56,646,2,62,MICHIGAN
57,2059,33,62,CALIFORNIA
58,2754,6,62,CALIFORNIA
59,2620,1,62,ARIZONA
60,387,13,62,ARIZONA
61,2486,6,62,TEXAS
62,2014,12,60,TEXAS
63,2789,1,60,ARIZONA
64,2059,33,62,CALIFORNIA
65,10613,1,0,ARIZONA
66,387,20,62,ARIZONA
67,1811,1,62,TEXAS
68,985,1,62,ARIZONA
69,2620,22,62,ARIZONA
70,387,9,62,ARIZONA
71,3912,1,60,MICHIGAN
72,766,1,0,ARIZONA
73,110,1,60,TEXAS
74,6868,1,0,ARIZONA
75,2645,2,70,ARIZONA
76,75496,1,0,TEXAS
77,2645,2,70,ARIZONA
78,2438,7,23,TEXAS
79,2061,4,70,TEXAS
80,2312,6,20,ARIZONA
81,1934,50,70,ARIZONA
82,5650,1,0,ARIZONA
83,2300,6,20,CALIFORNIA
84,2312,14,9,ARIZONA
85,1869,3,20,CALIFORNIA
86,2486,25,70,TEXAS
87,2645,2,70,ARIZONA
88,2020,68,70,TEXAS
89,208,2,70,TEXAS
90,6764,1,0,TEXAS
91,10769,1,0,ARIZONA
92,1891,3,10,TEXAS
93,1691,51,70,ARIZONA
94,1693,2,81,TEXAS
95,387,25,30,ARIZONA
96,387,9,30,ARIZONA
97,2438,5,62,TEXAS
98,387,6,62,ARIZONA
99,1691,12,62,ARIZONA
100,387,22,62,ARIZONA
101,2438,5,62,TEXAS
102,387,7,62,ARIZONA
103,2142,6,62,ARIZONA
104,387,14,62,ARIZONA
105,389,1,60,ARIZONA
106,804,6,62,TEXAS
107,3911,2,60,MICHIGAN
108,2806,1,62,CALIFORNIA
109,2312,3,62,ARIZONA
110,387,4,62,ARIZONA
111,2486,62,62,TEXAS
112,75416,1,0,ARIZONA
113,985,14,62,ARIZONA
114,15300,1,0,NEW JERSEY
115,2620,21,62,ARIZONA
116,2142,70,62,ARIZONA
117,1560,1,62,MICHIGAN
118,2645,10,62,ARIZONA
119,2312,1,62,ARIZONA
120,2214,3,62,ARIZONA
121,2620,18,62,ARIZONA
122,2786,14,62,MICHIGAN
123,2620,21,62,ARIZONA
124,387,2,62,ARIZONA
125,2214,3,62,ARIZONA
126,2142,70,62,ARIZONA
127,1934,1,62,ARIZONA
128,387,25,30,ARIZONA
129,1709,21,62,TEXAS
130,1693,11,60,TEXAS
131,1811,1,30,TEXAS
132,1661,1,73,CALIFORNIA
133,1775,23,9,CALIFORNIA
134,2014,12,61,TEXAS
135,985,17,61,ARIZONA
136,1360,1,61,ARIZONA
137,2020,24,61,TEXAS
138,16077,1,0,CALIFORNIA
139,2230,1,61,TEXAS
140,1627,1,0,ARIZONA
141,1485,1,0,ARIZONA
142,4104,1,0,ARIZONA
143,4117,1,0,ARIZONA
144,4114,1,0,ARIZONA
145,10688,1,0,TEXAS
146,1488,1,0,ARIZONA
147,694,1,0,ARIZONA
148,4505,1,0,ARIZONA
149,4096,1,0,ARIZONA
150,16281,1,0,ARIZONA
151,16092,1,0,NEW JERSEY
152,91,1,0,CALIFORNIA
153,88,1,0,ARIZONA
154,11010,1,0,ARIZONA
155,16081,1,0,ARIZONA
156,4099,1,0,ARIZONA
157,4096,1,0,ARIZONA
158,15778,1,0,ARIZONA
159,1627,1,0,ARIZONA
160,10526,1,0,ARIZONA
161,4083,1,0,ARIZONA
162,2472,1,0,FLORIDA
163,154,1,0,CALIFORNIA
164,2472,1,0,FLORIDA
165,15202,1,0,TEXAS
166,1046,1,9,CALIFORNIA
167,1775,7,62,CALIFORNIA
168,2972,21,62,TEXAS
169,2020,4,62,TEXAS
170,274,1,9,TEXAS
171,2438,11,62,TEXAS
172,16262,1,0,TEXAS
173,1819,1,60,TEXAS
174,2754,6,62,CALIFORNIA
175,10672,1,0,CALIFORNIA
176,10670,1,0,CALIFORNIA
177,2438,33,62,TEXAS
178,1452,4,9,TEXAS
179,2144,33,62,CALIFORNIA
180,1348,1,0,TEXAS
181,7331,891,9,GEORGIA
182,2020,3,60,TEXAS
183,7331,891,9,GEORGIA
184,1145,5,62,TEXAS
185,2438,6,62,TEXAS
186,1895,1,62,CALIFORNIA
187,2438,6,62,TEXAS
188,410,8,9,TEXAS
189,1145,3,62,TEXAS
190,2486,4,62,TEXAS
191,110,1,60,TEXAS
192,2020,4,62,TEXAS
193,655,41,60,TEXAS
194,1428,1,62,CALIFORNIA
195,2144,48,62,CALIFORNIA
196,2914,47,62,CALIFORNIA
197,1691,11,62,ARIZONA
199,1891,22,62,TEXAS
200,2149,6,62,TEXAS
201,883,1,60,TEXAS
202,410,1,62,TEXAS
203,1954,27,62,MICHIGAN
204,2438,11,62,TEXAS
205,2144,33,62,CALIFORNIA
206,10377,1,0,ARIZONA
207,15037,1,0,MICHIGAN
208,2312,12,62,ARIZONA
209,2073,21,9,TEXAS
210,2312,12,62,ARIZONA
211,47,1,9,TEXAS
212,387,5,62,ARIZONA
213,2486,7,62,TEXAS
214,3906,17,62,MICHIGAN
215,387,26,62,ARIZONA
216,3909,1,62,MICHIGAN
217,1819,1,60,TEXAS
218,168,1,62,ARIZONA
219,168,1,62,ARIZONA
220,11041,1,0,TEXAS
221,1891,2,62,TEXAS
222,387,13,62,ARIZONA
223,387,21,62,ARIZONA
224,2438,6,62,TEXAS
225,2061,7,62,TEXAS
226,462,1,0,OHIO
227,387,21,62,ARIZONA
228,2438,6,62,TEXAS
229,2061,1,62,TEXAS
230,1775,41,60,CALIFORNIA
