,WAREHOUSE_IDENTIFIER,Dateid,SHIPMENT_NUMBER,ORDER_NUMBER,CUSTOMER_NUMBER,VENDOR_IDENTIFIER,COMPANY_IDENTIFIER,ITEM_NUMBER,Profit,AVERAGE_COST_PRICE,SALES_AMOUNT,INVOICE_AMOUNT,COST_PRICE
0,10634855,1,20171129,6735217,410,98858410,98832975,428714,2.8,0.0,3.36,0.56,0.56
1,10634855,2,20190626,6165708,1375,98858410,98832975,408872,8.0,0.0,12.0,4.0,4.0
2,10634855,3,20180910,6517073,2196,98858410,98832975,354274,5.37,0.0,7.16,1.79,1.79
3,10634855,4,20200513,6723693,1934,98858410,98832975,222679,14.700000000000001,0.0,19.6,4.9,4.9
4,10634855,5,20190128,6766514,75379,98858410,98832975,431999,52.15,0.0,62.58,10.43,10.43
5,10634855,6,20190501,6950683,1709,98858410,98832975,431155,7.85,0.0,9.42,1.57,1.57
6,10634855,7,20180912,6519529,3225,98858410,98832975,313825,0.0,0.0,0.0,0.0,0.0
7,10634855,8,20180627,6375048,1891,98858410,98832975,408773,4.51,0.0,9.02,4.51,4.51
8,10634855,9,20200406,6678089,2438,98858410,98832975,429696,12.73,0.0,13.4,0.67,0.67
9,10634855,10,20200528,6751519,2749,98858410,98832975,463927,11.459999999999999,0.0,15.28,3.82,3.82
10,10634855,11,20200503,6716246,1307,98858410,98832975,428052,4.08,0.0,4.76,0.68,0.68
11,10634855,12,20190923,6334791,75522,98858410,98832975,431973,0.0,0.0,3.77,3.77,3.77
12,10634855,13,20191028,6398819,2214,98858410,98832975,5229190,9.5,0.0,10.45,0.95,0.95
13,10634857,14,20180625,5772139,2579,98858416,98832971,592519,0.0,0.0,20.06,20.06,20.06
14,10634857,15,20191022,5236224,16139,98858418,98832971,127894,29.18,0.0,58.36,29.18,29.18
15,10634858,16,20200812,3281668,16262,98858425,98832971,2473791,0.0,0.0,0.0,0.0,0.0
16,10634858,17,20200727,3269292,2015,98858425,98832975,171959,0.0,0.0,42.66,42.66,42.66
