ORDER_NUMBER,ORDER_QUANTITY,SHIPPED_QUANTITY,ORDER_TYPE,PURCHASE_ORDER_NUMBER
6735217,6,6,REGULAR,0
6165708,3,3,REGULAR,0
6517073,4,4,REGULAR,0
6723693,4,4,REGULAR,0
6766514,6,6,REGULAR,0
6950683,6,6,REGULAR,0
6519529,1,0,REGULAR,0
6375048,2,2,REGULAR,0
6678089,20,20,REGULAR,0
6751519,4,4,REGULAR,0
6716246,7,7,REGULAR,0
6334791,1,1,REGULAR,0
6398819,11,11,REGULAR,0
5772139,1,1,REGULAR,0
5236224,2,2,REGULAR,0
3281668,1,0,REGULAR,0
3269292,1,1,REGULAR,0
5432495,1,0,REGULAR,0
1630931,1,1,REGULAR,0
5267415,1,1,REGULAR,0
1899362,1,0,REGULAR,0
6468572,1,1,REGULAR,0
3264817,1,0,REGULAR,0
1862976,1,0,REGULAR,0
5938847,1,1,REGULAR,0
1878031,1,1,REGULAR,0
1982570,1,0,REGULAR,0
5359392,1,0,REGULAR,0
1872857,1,0,REGULAR,0
3164151,1,1,REGULAR,0
3212256,1,0,REGULAR,0
1920141,1,0,REGULAR,0
6872968,1,1,REGULAR,0
6427228,1,1,REGULAR,0
6683240,1,1,REGULAR,0
3250497,1,0,REGULAR,0
6241186,1,1,REGULAR,0
1937736,1,0,REGULAR,0
6207974,1,1,REGULAR,0
1845630,2,2,REGULAR,0
3748865,1,1,REGULAR,0
3175558,1,0,REGULAR,0
5240324,1,1,REGULAR,0
3329451,2,0,REGULAR,0
3681881,1,1,REGULAR,0
5399139,1,1,REGULAR,0
3252639,1,0,REGULAR,0
3693689,1,1,REGULAR,0
3278095,2,2,REGULAR,0
1481853,1,1,REGULAR,0
5259363,1,0,REGULAR,0
5866602,1,0,REGULAR,0
6247413,2,2,REGULAR,0
3617480,30,30,PROMOTIONAL,0
5237440,1,1,REGULAR,0
6329221,2,2,REGULAR,0
5279386,4,4,REGULAR,0
1831685A,1,1,REGULAR,0
1562323,30,30,PROMOTIONAL,0
5448254,1,1,REGULAR,0
6684921,2,2,REGULAR,0
6111655,1,1,REGULAR,0
3626322,6,0,REGULAR,0
5882364,1,1,PROMOTIONAL,0
6503891,1,1,REGULAR,0
6228640,1,1,REGULAR,0
6673419,2,0,REGULAR,0
3518345,1,1,REGULAR,0
5435339,1,1,REGULAR,0
5333263,1,1,REGULAR,0
6196114,1,0,REGULAR,0
5641357,1,1,REGULAR,0
5268119,2,2,REGULAR,0
3207336,1,1,REGULAR,0
6672243,112,112,EMERG TRANSFER,0
6889186,2,0,REGULAR,0
6460004,1,1,REGULAR,0
6532171,1,1,REGULAR,0
6791561,9,9,REGULAR,0
6780731,3,3,REGULAR,0
6578464,2,2,REGULAR,0
6922657,1,1,REGULAR,0
6515106,1,1,REGULAR,0
6296601,4,4,REGULAR,0
6546904,1,1,REGULAR,0
6928764,1,1,REGULAR,0
6863681,3,3,REGULAR,0
6740133,5,5,REGULAR,0
6594438,3,3,REGULAR,0
6943737,3,0,REGULAR,0
3886343,1,1,REGULAR,0
6323613,1,1,REGULAR,0
6553177,1,1,REGULAR,0
9823863,5,5,REGULAR,?
6385217,3,0,REGULAR,0
6180182,1,1,REGULAR,0
6328679,1,1,REGULAR,0
3786305,1,1,REGULAR,0
6484963,1,1,REGULAR,0
3727499,1,1,REGULAR,0
6204851,2,2,PROMOTIONAL,0
3594733,1,1,REGULAR,0
6493121,1,1,REGULAR,0
5345257,1,1,REGULAR,0
6627719,1,1,REGULAR,0
5126267,1,0,REGULAR,0
3467353,1,1,REGULAR,0
5300086,1,1,REGULAR,0
1585943,1,1,REGULAR,0
3707002,1,1,REGULAR,0
5895816,2,2,REGULAR,0
3164203,1,1,REGULAR,0
6768626,1,1,REGULAR,0
5369454,5,5,REGULAR,0
5938022,1,1,REGULAR,0
5703921,1,1,REGULAR,0
5838632,1,1,REGULAR,0
5192499,2,2,REGULAR,0
5110210,1,1,REGULAR,0
5336234,5,5,REGULAR,0
5925204,1,1,REGULAR,0
5937961,6,6,REGULAR,0
5913747,12,12,REGULAR,0
5111328,1,1,REGULAR,0
5881663,2,2,REGULAR,0
5676963,1,1,REGULAR,0
5159360,2,2,REGULAR,0
5408243,10,10,REGULAR,0
6421460,1,1,REGULAR,0
6516747,1,0,REGULAR,0
6320635,1,1,REGULAR,0
6387866,2,2,REGULAR,0
6857688,1,1,REGULAR,0
1635689,1,1,PROMOTIONAL,0
3808743,1,1,REGULAR,0
5455115,1,1,REGULAR,0
5763050,2,2,REGULAR,0
3885125,1,1,REGULAR,0
1858139,1,0,REGULAR,0
3151084,1,1,REGULAR,0
5692700,1,1,REGULAR,0
5441300,1,1,REGULAR,0
6836329,2,2,REGULAR,0
6480439,1,1,REGULAR,0
6940990,1,1,REGULAR,0
3816249,1,1,REGULAR,0
6867679,1,1,REGULAR,0
5485744,1,1,REGULAR,0
5300726,2,2,REGULAR,0
6784592,1,1,REGULAR,0
6501688,2,2,REGULAR,0
5271374,1,0,REGULAR,0
1873083,1,0,REGULAR,0
5916453,1,1,REGULAR,0
5470588,2,2,REGULAR,0
6764445,6,6,REGULAR,0
6624771,2,2,REGULAR,0
6381480,3,3,REGULAR,0
6773883,1,1,REGULAR,0
5830930,1,1,REGULAR,0
6246768,4,4,REGULAR,0
6275809,1,1,REGULAR,0
5293511,1,1,REGULAR,0
1719555,1,1,REGULAR,0
5113669,1,1,REGULAR,0
3594026,1,1,REGULAR,0
1470215,1,1,REGULAR,0
1907642,1,0,REGULAR,0
3153990,3,3,PROMOTIONAL,0
3719301,1,1,REGULAR,0
3925524,1,0,REGULAR,0
3131122,2,2,REGULAR,0
3716429,1,1,REGULAR,0
1665955,1,1,REGULAR,0
1904066,1,0,REGULAR,0
3255060,1,1,REGULAR,0
1572778,1,1,REGULAR,0
3504867,1,1,REGULAR,0
3762852,2,2,PROMOTIONAL,0
1840923,1,1,REGULAR,0
3854787,1,1,REGULAR,0
1915702,1,0,REGULAR,0
3277200,1,0,REGULAR,0
1731855,1,1,REGULAR,0
3441301,2,2,PROMOTIONAL,0
3914241,1,0,PROMOTIONAL,0
3695313,1,0,REGULAR,0
3142172,2,0,REGULAR,0
3262221,1,0,REGULAR,0
3370354,1,0,REGULAR,0
3782024,1,0,REGULAR,0
3292909,1,1,REGULAR,0
3894760,2,2,REGULAR,0
3506871,4,4,PROMOTIONAL,0
1776392,1,1,REGULAR,0
1878010,1,1,REGULAR,0
1958446,1,1,REGULAR,0
3726376,1,0,REGULAR,0
3129243,1,1,REGULAR,0
3361576,1,1,REGULAR,0
3551095,1,0,REGULAR,0
3654728,4,4,REGULAR,0
5533513,2,2,REGULAR,0
3286217,1,1,REGULAR,0
1915816,2,0,PROMOTIONAL,0
5344485,1,1,REGULAR,0
5508420,1,1,REGULAR,0
5415319,2,0,REGULAR,0
3626574,1,1,REGULAR,0
5930841,1,1,REGULAR,0
3614283,1,1,REGULAR,0
6787747,2,2,REGULAR,0
3208513,1,1,REGULAR,0
5146176,2,2,REGULAR,0
6360639,1,1,REGULAR,0
5839672,2,2,REGULAR,0
3828577,1,1,REGULAR,0
5239497,1,1,PROMOTIONAL,0
5420773,2,2,REGULAR,0
3277683,1,0,REGULAR,0
3791884,1,1,REGULAR,0
6173680,1,1,REGULAR,0
6569213,2,2,REGULAR,0
3283922,2,0,REGULAR,0
3811144,1,0,REGULAR,0
1852834,1,1,REGULAR,0
6374145,2,2,PROMOTIONAL,0
3236815,2,0,REGULAR,0
3689438,1,1,REGULAR,0
1685882,1,1,REGULAR,0
5500879,2,2,REGULAR,0
3263855,1,1,REGULAR,0
5473525,3,0,REGULAR,0
5160729,2,2,REGULAR,0
5391419,2,0,REGULAR,0
1534951,1,1,REGULAR,0
5375030,1,1,REGULAR,0
5327673,1,0,REGULAR,0
3883925,2,2,PROMOTIONAL,0
1744394,1,1,REGULAR,0
1899696,1,1,REGULAR,0
1645492,1,1,REGULAR,0
3834399,2,2,REGULAR,0
1798479,1,1,REGULAR,0
5464254,1,0,REGULAR,0
3277574,1,0,REGULAR,0
5291479,1,1,REGULAR,0
5449783,1,1,REGULAR,0
5901593,2,2,REGULAR,0
6381425,1,1,REGULAR,0
5126502,1,1,REGULAR,0
6505394,2,2,REGULAR,0
6600680,1,1,REGULAR,0
5338036,1,0,REGULAR,0
5295928,1,0,REGULAR,0
5717913,1,1,REGULAR,0
5671392,1,1,REGULAR,0
6306141,2,2,PROMOTIONAL,0
6943766,1,0,REGULAR,0
6897099,1,1,REGULAR,0
5345553,1,1,REGULAR,0
6117828,1,1,REGULAR,0
6477853,1,1,REGULAR,0
5343131,1,0,REGULAR,0
5385376,1,0,REGULAR,0
5301128,2,0,REGULAR,0
6148085,1,0,REGULAR,0
6460112,1,1,REGULAR,0
6780620,1,1,REGULAR,0
5396874,5,5,REGULAR,0
5100921,1,1,REGULAR,0
6933141,1,0,REGULAR,0
6626024,1,0,REGULAR,0
6752128,1,1,REGULAR,0
6839141,1,1,REGULAR,0
6924173,1,1,REGULAR,0
5743077,3,3,REGULAR,0
6357974,1,1,REGULAR,0
5761633,1,1,REGULAR,0
5393360,1,0,REGULAR,0
6530724,1,1,REGULAR,0
6086730,1,1,SEASONAL,0
6962674,1,1,REGULAR,0
6684684,1,0,REGULAR,0
5331222,1,1,REGULAR,0
3357240,2,0,REGULAR,0
5525883,1,1,REGULAR,0
6841448,1,1,REGULAR,0
3664547,2,2,REGULAR,0
3235761,1,0,REGULAR,0
5655002,15,15,PROMOTIONAL,0
5360201,1,0,REGULAR,0
5786594,1,1,REGULAR,0
5112927,1,1,REGULAR,0
5750944,1,1,REGULAR,0
5781530,3,3,REGULAR,0
5362517,1,0,REGULAR,0
5424828,1,1,REGULAR,0
3235414,1,0,REGULAR,0
5264627A,1,1,REGULAR,0
5319465,1,1,REGULAR,0
5263248,1,1,REGULAR,0
6303373,1,1,REGULAR,0
1933714,1,1,REGULAR,0
5139666,2,2,REGULAR,0
5145655,1,1,REGULAR,0
6390613,1,1,REGULAR,0
1911274,1,1,REGULAR,0
3668738,2,2,REGULAR,0
3306785,1,1,REGULAR,0
3555975,1,1,REGULAR,0
5427376,1,1,REGULAR,0
1526605,2,2,REGULAR,0
6531221,2,2,PROMOTIONAL,0
6347925,6,0,REGULAR,0
6747993,1,1,REGULAR,0
5283228,1,1,REGULAR,0
3644227,1,1,REGULAR,0
3687536,-1,-1,REGULAR,0
5648863,1,1,REGULAR,0
5216339,1,1,REGULAR,0
3703242,1,1,REGULAR,0
6375325,4,4,REGULAR,0
6741585,10,10,REGULAR,0
3637172,1,1,BOOKING,0
6802957,1,1,PROMOTIONAL,0
6372427,2,2,REGULAR,0
6936107,1,0,REGULAR,0
6969353,1,1,REGULAR,0
6637819,1,1,REGULAR,0
3153799,1,0,PROMOTIONAL,0
6733878,2,2,REGULAR,0
5334872,1,1,REGULAR,0
6409250,2,0,REGULAR,0
6840154,1,0,REGULAR,0
3573626,1,0,REGULAR,0
6178385,1,1,REGULAR,0
6527802,1,1,REGULAR,0
5264477,2,0,REGULAR,0
3121926,1,0,REGULAR,0
6844770,1,0,REGULAR,0
6347960,1,1,REGULAR,0
6894634,1,1,REGULAR,0
1708743,4,4,REGULAR,0
1627351,1,1,REGULAR,0
1639172,1,1,REGULAR,0
1673047,1,1,REGULAR,0
1699879,1,1,REGULAR,0
6773105,1,1,REGULAR,0
3294769,6,6,REGULAR,0
6470521,2,2,REGULAR,0
6771790,1,1,REGULAR,0
3874882,1,1,REGULAR,0
5681621,2,2,REGULAR,0
1931720,1,1,REGULAR,0
6170666,1,1,REGULAR,0
5851692,4,4,REGULAR,0
3878316,1,1,REGULAR,0
5359912,2,2,REGULAR,0
3511033,1,1,REGULAR,0
6324942,3,3,REGULAR,0
3678748,1,1,REGULAR,0
5675317,1,1,REGULAR,0
6440753,13,13,REGULAR,0
3555455,1,1,REGULAR,0
3280252,1,1,REGULAR,0
3721181,1,1,REGULAR,0
3281804,1,0,REGULAR,0
3839598,1,1,REGULAR,0
3556547,1,0,REGULAR,0
3249802,1,1,REGULAR,0
1759006,1,1,REGULAR,0
3467123,1,1,REGULAR,0
3836395,1,1,REGULAR,0
3483149,1,1,REGULAR,0
3165516,1,1,REGULAR,0
1652240,1,1,REGULAR,0
3235774,1,1,REGULAR,0
6306799,1,1,BOOKING,0
6595656,10,0,BOOKING,0
6644200,1,1,BOOKING,0
6417161,3,3,REGULAR,0
6546515,1,0,PROMOTIONAL,0
6740497,1,1,REGULAR,0
6716506,6,6,PROMOTIONAL,0
3108122,1,1,REGULAR,0
1472702,1,1,REGULAR,0
6278793,1,1,REGULAR,0
3652708,1,1,REGULAR,0
1523968,1,1,REGULAR,0
3821385,1,0,REGULAR,0
5850237,4,4,REGULAR,0
5520666Y,1,1,REGULAR,0
6103979,1,1,PROMOTIONAL,0
5865331,1,1,REGULAR,0
6750524,1,1,REGULAR,0
3572005,1,1,REGULAR,0
6810944,2,2,PROMOTIONAL,0
5956776,1,1,REGULAR,0
3448326,1,1,REGULAR,0
