SHIPMENT_NUMBER,SHIPPING_REGION_IDENTIFIER,SHIPPING_REGION_CODE,SHIPPING_REGION_NAME,SHIPPING_UNIT_MEASURE,SHIPPING_PACK_QUANTITY
20171129,1,F,FLORIDA,EA,1
20190626,1,F,FLORIDA,EA,1
20180910,1,F,FLORIDA,EA,1
20200513,1,F,FLORIDA,EA,1
20190128,1,F,FLORIDA,EA,1
20190501,1,F,FLORIDA,EA,1
20180912,1,F,FLORIDA,EA,1
20180627,1,F,FLORIDA,EA,1
20200406,1,F,FLORIDA,EA,1
20200528,1,F,FLORIDA,EA,1
20200503,1,F,FLORIDA,EA,1
20190923,1,F,FLORIDA,EA,1
20191028,1,F,FLORIDA,EA,1
20180625,2,O,OHIO,CS,12
20191022,2,O,OHIO,CS,12
20200812,4,T,TEXAS,CS,2
20200727,4,T,TEXAS,CS,6
20200718,2,O,OHIO,CS,4
20181012,5,M,MISSOURI,CS,12
20191206,2,O,OHIO,CS,6
20191202,1,F,FLORIDA,CS,2
20200717,4,T,TEXAS,CS,5
20200318,5,M,MISSOURI,CS,12
20190222,2,O,OHIO,CS,12
20200416,5,M,MISSOURI,CS,6
20201119,5,M,MISSOURI,CS,12
20200419,2,O,OHIO,CS,12
20200304,4,T,TEXAS,CS,6
20200506,4,T,TEXAS,CS,12
20200712,5,M,MISSOURI,CS,6
20180219,1,F,FLORIDA,CS,6
20180725,1,F,FLORIDA,CS,12
20200409,1,F,FLORIDA,CS,6
20200626,4,T,TEXAS,CS,6
20180424,1,F,FLORIDA,CS,8
20200820,5,M,MISSOURI,CS,12
20180406,1,F,FLORIDA,CS,12
20200206,5,M,MISSOURI,CS,6
20200323,4,T,TEXAS,CS,12
20201013,4,T,TEXAS,CS,6
20181107,4,T,TEXAS,CS,12
20200608,2,O,OHIO,CS,9
20200702,4,T,TEXAS,CS,6
20181123,4,T,TEXAS,CS,12
20200806,4,T,TEXAS,CS,6
20171201,5,M,MISSOURI,CS,12
20191125,2,O,OHIO,CS,12
20181105,2,O,OHIO,CS,12
20190803,1,F,FLORIDA,CS,3
20180807,4,T,TEXAS,CS,28
20191025,2,O,OHIO,CS,6
20180603,1,F,FLORIDA,CS,3
20191229,2,O,OHIO,CS,35
20200106,5,M,MISSOURI,CS,6
20180523,5,M,MISSOURI,CS,28
20200810,2,O,OHIO,CS,4
20200408,1,F,FLORIDA,CS,3
20190522,1,F,FLORIDA,CS,4
20180818,4,T,TEXAS,CS,28
20181126,2,O,OHIO,CS,4
20191223,1,F,FLORIDA,CS,4
20180418,1,F,FLORIDA,CS,4
20200401,1,F,FLORIDA,CS,4
20180309,4,T,TEXAS,CS,1
20200723,2,O,OHIO,CS,3
20200319,2,O,OHIO,CS,6
20190706,1,F,FLORIDA,CS,4
20171101,2,O,OHIO,CS,4
