,VENDOR_IDENTIFIER,VENDOR_NUMBER,VENDOR_NAME,VENDOR_CITY,VENDOR_COUNTRY,VENDOR_ADDRESS
0,98858410,1004.0,BOW PLUMBING GROUP INC.,WESTMINSTER,US,5700 COTE DE LIESSE
1,98858416,101.0,MAPLE LEAF CONSUMER FOODS,TEXAS,US,100 MCLEOD AVE.
2,98858418,1011.0,CRUST CRAFT INC.,OHIO,US,O/A GOODNESS YES PIZZA
3,98858425,1018.0,RECKITT BENCKISER,LOS ANGELES,US,C/O CYBA STEVENS
4,98858428,1021.0,NESTLE WATERS CANADA,FLORIDA,US,C/O PERRY SIKSTROM
5,98858440,1032.0,SOUTHWIRE COMPANY,WASHINGTON,US,SUITE 100
6,98858441,1033.0,COBRA ANCHORS CO. LTD,WESTMINSTER,US,8051 METROPOLITAIN BLVD EAST
8,98858452,1044.0,MASCO CANADA LTS.,DETROIT,US,350 SOUTH EDGEWARE ROAD
9,98858463,1054.0,CH ROBINSON WORLDWIDE,HOUSTON,US,PO BOX 57729 STATION A
10,98858472,1062.0,REMEDY ANIMAL HEALTH PRODUCTS LTD.,MONTGOMERY,US,9526 HALDANE ROAD
11,98858473,1063.0,FIT FOODS INC,LOS ANGELES,US,1589 KEBET WAY
12,98858478,1068.0,WELLNX LIFE SCIENCES,WASHINGTON,US,C/O JIM SHOPLAND
13,98858480,107.0,WOWBUTTER FOODS,DETROIT,US,C/O DAVID SINGSANK
14,98858484,1073.0,CLOVER LEAF SEAFOODS CORP.,FLORIDA,US,DAN ROBBINS C/O ADVANTAGE
15,98858488,1077.0,SOUTHWIRE CANADA,HOUSTON,US,375 KENNEDY ROAD
16,98858492,1080.0,SPARK'S FARM EGG SUPPLIES,FLORIDA,US,R.R. #6
17,98858496,1084.0,SANOFI CONSUMER HEALTH INC,RICHARDSON,US,2905 PLACE LOUIS-R-RENAUD
18,98858511,1099.0,HOMTRONIX (HONGHWA),JERSEY CITY,US,#501 ELECTRA BUILDING
19,98858514,1101.0,FURLANI'S FOOD CORPORATION,WARREN,US,1700 AIMCO BLVD
20,98858518,1105.0,THOMAS FRESH,FLORIDA,US,5460 76TH AVENUE S.E.
21,98858522,1109.0,UNILEVER CANADA (FOODS),HOUSTON,US,160 BLOOR STREET EAST
22,98858523,1110.0,AGROPUR (SCOTSBURN) COOPERATIVE,GREEN BAY,US,332 WILLOW STREET
23,98858525,1112.0,UNILEVER CANADA (HOME/PERSONAL CARE,HOUSTON,US,DIV)
24,98858540,1126.0,SC JOHNSON & SON,CAMBRIDGE,US,CUSTOMER SERVICE
26,98858557,1142.0,TOYO IMPORTING CO LTD,CARROLLTON,US,3445 GARDNER COURT
29,98858591,1174.0,PRAIRIE FRESH FOOD CORPORATION,TEXAS,US,2335 SCHUYLER STREET
30,98858613,1195.0,MAPLEHURST BAKERIES,HOUSTON,US,PO BOX 3525
32,98858621,1202.0,LOUISVILLE LADDERS,HOUSTON,US,T10379C
33,98858626,1207.0,MANSFIELD MEDICAL DIST LTD,KNOXVILLE,US,C/O DEAN MCHARRY
34,98858628,1209.0,MARS CANADA INC,BRIDGEPORT,US,37 HOLLAND DR
35,98858636,1216.0,TREE ISLAND INDUSTRIES LTD,MIDLAND,US,3933 BOUNDARY ROAD
37,98858644,1223.0,QUALITY NATURAL FOODS CANADA INC.,DETROIT,US,420 NUGGET AVENUE
38,98858649,1228.0,PINNACLE FOODS CANADA CORP,WASHINGTON,US,2000 ARGENTIA ROAD
39,98858650,1229.0,CHO AMERICA,DETROIT,US,7544 CHEMIN DE LA COTE DE LIESSE
40,98858660,1238.0,KROWN PRODUCE,TEXAS,US,1171- 8 ST. EAST
41,98858665,1242.0,NESTLE CANADA INC,BAKERSFIELD,US,9050 AIRPORT ROAD
42,98858674,1250.0,DANSON DECOR,DETROIT,US,3425 DOUGLAS B. FLOREANI
43,98858679,1255.0,DAN D PAK,MIDLAND,US,11760 MACHRINA WAY
44,98858680,1256.0,MODERN HOUSEWARE IMPORTS INC,CARROLLTON,US,2300 MADISON AVENUE
45,98858684,126.0,EL MOLINO FOODS OF CANADA LTD,CHICAGO,US,1 ALBERTA ROAD
46,98858685,1260.0,PRAIRIE FRESH FOOD CORPORATION,LOS ANGELES,US,PO BOX 249
47,98858686,1261.0,TRIPLE THREE TRADING LTD,FLORIDA,US,908 34AVE SE
48,98858690,1265.0,BAFFIN INC. (CHAMBERLAIN PHIPPS),CHULA VISTA,US,346 ARVIN AVENUE
49,98858702,1276.0,PINNACLE FOODS CANADA CORP,VISTA,US,2000 ARGENTIA ROAD
50,98858708,1282.0,CAMPBELL COMPANY OF CANADA,FLORIDA,US,51 AUBURN SOUND CRES SE
51,98858709,1283.0,CAMPBELL COMPANY OF CANADA,FLORIDA,US,51 AUBURN SOUND CRES SE
52,98858712,1286.0,C.K.F. INC,LOS ANGELES,US,22 IRON STREET
53,98858719,1293.0,BOIRON LABS,CLEVELAND,US,1300 RENE DESCARTES
54,98858721,1295.0,MACGREGORS MEAT AND SEAFOOD LTD,HOUSTON,US,265 GARYRAY DRIVE
55,98858722,1296.0,CONAIR CONSUMER PRODUCTS,LINCOLN,US,SBMG  SUITE 250
57,98858737,131.0,VITA HEALTH PRODUCTS,MISSOURI,US,C/O CARA LEGGETT
58,98858743,1315.0,WHYTE'S FOOD CORPORATION INC,GRESHAM,US,20 RUE SICARDVENUE
59,98858745,1317.0,INOVATA FOODS CORP,OHIO,US,12803  149 TH STREET NW
60,98858747,1319.0,MOEN INC_(PARTS),MODESTO,US,2816 BRISTOL CIRCLE
61,98858755,1326.0,I-D FOODS SUPERIOR CORP.,FLORIDA,US,7151 44TH STREET S.E.
62,98858760,1330.0,DELON LABORATORIES LTD,DETROIT,US,69 BRUNSWICK BOULEVARD
63,98858769,1339.0,SHANDEX GROUP LTD_(HIGH RIDGE),LOS ANGELES,US,100 SQUIRES BEACH ROAD
64,98858777,1346.0,KEURIG CANADA INC,WESTMINSTER,US,3700 JEAN RIVARD
65,98858786,1354.0,SOMETHING SPECIAL DELI-FOODS LTD,OHIO,US,"224 KASKA ROAD,"
66,98858787,1355.0,GENPAK,WACO,US,3185 PEPPER MILL COURT
67,98858803,137.0,HOMTRONIX (CASTER-YANTIAN),INGLEWOOD,US,#711 THE ELECTRA BUILDING
68,98858805,1371.0,MAPLE LEAF GROCERY PRODUCTS,FLORIDA,US,DREW REGHENAS
69,98858815,1380.0,STAR PRODUCE,TEXAS,US,2941 PORTAGE AVE
70,98858816,1381.0,CHAPMAN'S ICE CREAM,SPRINGFIELD,US,BOX 379
71,98858822,1387.0,CANADIAN GOLD BEVERAGES,SPRINGFIELD,US,BOX 150 45137 HWY 210
73,98858826,1391.0,PEAK OF THE MARKET,MISSOURI,US,1200 KING EDWARD STREET
74,98858827,1392.0,MOUNTAIN TOP FOODS,YONKERS,US,2220 - 19TH AVENUE
75,98858828,1393.0,GEMINI PACKAGING LTD.,LOS ANGELES,US,UNIT 150-12071 JACOBSON WAY
77,98858834,1399.0,UNILEVER FOODSOLUTIONS,HOUSTON,US,E/O ACCT RECEIVABLE
78,98858835,14.0,BURNBRAE FARMS LTD,MISSOURI,US,500 PANDORA AVE W.
79,98858840,1403.0,HOMTRONIX (CTM-XIAMEN),INGLEWOOD,US,SUIT 217
80,98858842,1405.0,LIBRA NATIONAL INC.,CARROLLTON,US,C/O MARATHON MARKETING SERVICES INC
81,98858845,1408.0,ARCTIC GLACIER ICE,OHIO,US,17908 118 AVE
82,98858852,1415.0,DENBAR FOOD GROUP,CHICAGO,US,900 DIVISION UNIT 200
83,98858853,1416.0,HOMTRONIX (DANSON-YANTIAN),INGLEWOOD,US,#711 THE ELECTRA BUILDING
84,98858854,1417.0, IRVING PERSONAL CARE LTD,DALLAS,US,100 MIDLAND DR
85,98858861,1424.0,CALKINS & BURKE LTD,INGLEWOOD,US,SUITE 301
86,98858874,1436.0,NOVALI GOURMET INC.,BILLINGS,US,14 RUE DE MONGOLFIER
87,98858875,1437.0,CANARM LTD,CAMBRIDGE,US,2157 PARKEDALE AVENUE
88,98858882,1443.0,CHAPMAN'S ICE CREAM,SPRINGFIELD,US,BOX 379
89,98858884,1445.0,BIMBO BAKEHOUSE INC.,FLORIDA,US,710-7015 MACLEOD TRAIL S
90,98858899,1459.0,THE VERN'S PIZZA CO. LTD.,TEXAS,US,50- 710 CYNTHIA ST
91,98858904,1463.0,HOPKINS CANADA INC.,BIRMINGHAM,US,281 CHATHAM ST. S.
92,98858905,1464.0,IMPERIAL MANUFACTURING GROUP,LOS ANGELES,US,40 INDUSTRIAL PARK STREET
93,98858908,1467.0,ICE RIVER SPRINGS WATER CO.,DETROIT,US,485387 30 SIDEROAD
95,98858919,1477.0,AIR LIQUIDE CANADA INC,MISSOURI,US,58 WESTON ST
96,98858926,1483.0,CLIF BAR & CO.,CHICAGO,US,C/O MARSHAM INTERNATIONAL
97,98858928,1485.0,G & L DISTRIBUTORS LTD,DETROIT,US,262 ATHABASCAN AVENUE
99,98858937,1493.0,CONAGRA FOODS CANADA,VISALIA,US,5055 SATELLITE DRIVE
100,98858945,150.0,NEWMAN'S OWN INC.,HOUSTON,US,PO BOX 15800
101,98858946,1500.0,HARLAN BAKERIES-EDMONTON L.P.,MONTGOMERY,US,PO BOX 516
102,98858950,1504.0,HUER FOODS,NAPERVILLE,US,27478 55TH AVE
104,98858957,1511.0,INTERTAPE POLYMER INC.,WESTMINSTER,US,455 COTE VERTU
105,98858959,1513.0,ANDERSON WATTS,CARROLLTON,US,6336 DARNLEY ST
106,98858962,1516.0,BABY GOURMET FOODS,FLORIDA,US,#259 1011 9TH AVE SE
108,98858964,1518.0,DARE FOODS,NAPERVILLE,US,2481 KINGSWAY DRIVE
109,98858967,1521.0,LAST MOUNTAIN BERRY FARMS,DETROIT,US,BOX 12 RR#1
110,98858968,1522.0,DARE FOODS,NAPERVILLE,US,2481 KINGSWAY DRIVE
111,98858969,1523.0,CHAMBERLAIN MFG CANADA INC,WACO,US,400 COURTNEYPARK DRIVE EAST
112,98858979,1532.0,ANCHOR ACQUISITION LLC,HOUSTON,US,PO BOX 57704
113,98858985,1538.0,WESTON FOODS (CANADA) INC.,HOUSTON,US,1 HAFIS RD
114,98858988,1541.0,RICH PRODUCTS CORPORATION,HOUSTON,US,BOX 910770
115,98858989,1542.0,"THOMAS, LARGE & SINGER INC",SPRINGFIELD,US,15 ALLSTATE PARKWAY
116,98858996,1549.0,MAPLE LODGE FARMS LTD.,BAKERSFIELD,US,8301 WINSTON BLVD.
117,98858998,1551.0,WESTON FOODS (CANADA) INC.,HOUSTON,US,1 HAFIS RD
118,98859010,1562.0,REUVEN INTERNATIONAL LTD.,HOUSTON,US,1881 YONGE ST. SUITE 201
119,98859011,1563.0,RICHARDSON OILSEED LTD.,MISSOURI,US,2800 ONE LOMBARD PLACE
120,98859012,1564.0,IKO INDUSTRIES LTD.,FLORIDA,US,1600-42 AVENUE SE
121,98859022,1573.0,CRAVEN RIVERSIDE GARDENS INC,CHICAGO,US,P.O. BOX  180
123,98859030,1580.0,PRIVATE BRANDS CONSORTIUM (PBC) INC,MCKINNEY,US,3000 - BLVD RENE-LEVESQUE
124,98859032,1582.0,HUNG'S NOODLE HOUSE,FLORIDA,US,"BAY 25, 1410-40 TH AVENUE NE"
125,98859034,1584.0,DAVID OPPENHEIMER & ASSOC (CDN),CHICAGO,US,#101 - 11 BURBRIDGE STREET
126,98859048,1597.0,MARTELLI FOODS INC.,VISTA,US,6650 TOMKEN ROAD
127,98859052,1600.0,NESTLE CANADA INC,BAKERSFIELD,US,"9050 AIRPORT ROAD, SUITE 101"
128,98859053,1601.0,NESTLE CANADA INC,BAKERSFIELD,US,9050 AIRPORT ROAD
129,98859054,1602.0,BARILLA CANADA INC.,SPRINGFIELD,US,"140 ALLSTATE PKWY,"
130,98859056,1604.0,NESTLE CANADA INC,BAKERSFIELD,US,9050 AIRPORT ROAD SUITE 101
131,98859059,1607.0,PURESOURCE INC,TEXAS,US,C/O WALLY FUNK
132,98859067,1614.0,SAMUEL STRAPPING SYSTEMS,WASHINGTON,US,2370 DIXIE ROAD
134,98859078,1625.0,SELECT BRANDS,TACOMA,US,"5580 EXPLORER DRIVE, SUITE 300"
135,98859079,1626.0,JAN K. OVERWEEL,LINCOLN,US,3700 STEELES AVE SUITE 702
136,98859080,1627.0,ARDENT MILLS (ROBIN HOOD),FAIRFIELD,US,SUITE 400 190 ATTWELL DRIVE
137,98859085,1632.0,PHARMASCIENCE INC,WILMINGTON,US,6111 ROYALMOUNT AVENUE
138,98859088,1635.0,WOODSTREAM CANADA CORP,BIRMINGHAM,US,"25 BRAMTREE COURT, UNIT 1"
139,98859091,1638.0,GRABBER CONSTRUCTION PRODUCTS,NAPERVILLE,US,"#1, 5563-268 STREET"
140,98859104,165.0,GOODY CANADA,LOS ANGELES,US,C/O COOTER SALES LTD
141,98859107,1652.0,CONCORD PREMIUM FOODS STOCKED,CHICAGO,US,125 EDILCAN DRIVE
142,98859109,1654.0,CASA CUBANA/ SPIKE MARKS INC,WILMINGTON,US,C/O JOHN ROCCA
143,98859110,1655.0,CATELLI FOODS CORPORATION,WESTMINSTER,US,6890 NOTRE-DAME EAST
144,98859126,1670.0,HIGH LINER FOODS INC,WASHINGTON,US,"85 PROLOGI BLVD, UNIT 3"
145,98859131,1675.0,LINDT & SPRUNGLI(CANADA) INC,HOUSTON,US,900 181 UNIVERSITY AVE
147,98859156,1699.0,ROOTS ORGANIC INC,KNOXVILLE,US,3727 184 STREET
148,98859159,1700.0,HELA SPICE CANADA INC,GREEN BAY,US,119FRANKLIN STREET
149,98859163,1704.0,PRIMCO LTD.,FLORIDA,US,12300 44 ST. SE
150,98859169,171.0,SAPUTO,FLORIDA,US,5434 - 44TH STREET N.E.
151,98859171,1711.0,REFRESCO CANADA INC.,HOUSTON,US,POSTAL STATION A
152,98859172,1712.0,NESTLE CANADA INC,BAKERSFIELD,US,9050 AIRPORT RD SUITE 101
154,98859177,1717.0,ADVANTAGE SOLUTIONS INC.,SPRINGFIELD,US,160 MCNABB STREET
155,98859181,1721.0,PINTYS DELICIOUS FOODS INC,CARMEL,US,5063 NORTH SERVICE ROAD
156,98859186,1726.0,ABSORBENT PRODUCTS LTD.,MIAMI,US,INDUSTRIAL CLAY PRODUCTS LTD.
157,98859188,1728.0,GENESIS MARKETING GROUP,INGLEWOOD,US,349 WEST GEORGIA STREET
158,98859192,1732.0,NATCO FOODS LTD,INGLEWOOD,US,3103 - 667 HOWE STREET
159,98859198,1738.0,511 FOODSERVICE__VAN,MURFREESBORO,US,2860 PORTLAND DRIVE
161,98859208,1748.0,PREMIER TECH HOME & GARDEN,WASHINGTON,US,1900 MINNESOTA COURT
162,98859211,1751.0,BCI FOODS INC,TEXAS,US,C/O CONCORD NATIONAL
163,98859217,1757.0,THE ORIGINAL CAKERIE LTD,CLEVELAND,US,1345 CLIVEDEN AVE
164,98859222,1762.0,NESTLE CANADA INC,BIRMINGHAM,US,9050 AIRPORT RD SUITE 101
165,98859231,1771.0,SHOAL LAKE WILD RICE LTD,MISSOURI,US,BOX 30 GRP 525 RR#5
167,98859235,1775.0,KRAFT HEINZ CANADA ULC,DETROIT,US,95 MOATFIELD DRIVE
168,98859237,1777.0,KROWN PRODUCE,TEXAS,US,1171- 8 ST. EAST
169,98859238,1778.0,SYNGENTA CROP PROTECTION CANADA INC,JERSEY CITY,US,140 RESEARCH LANE
170,98859241,1780.0,KROWN PRODUCE,TEXAS,US,1171- 8 ST. EAST
171,98859242,1781.0,CAVENDISH FARMS,HOUSTON,US,1551  WESTON ROAD
172,98859246,1785.0,KELLOGG CANADA INC,HOUSTON,US,PO BOX 15594
173,98859247,1786.0,PRO-WESTERN PLASTICS,DETROIT,US,30 RIEL DRIVE
